movie_name,release_year,director,age_difference,actor_1_name,actor_1_gender,actor_1_birthdate,actor_1_age,actor_2_name,actor_2_gender,actor_2_birthdate,actor_2_age,same_sex
Blue Crush,2002,John Stockwell,5,Matthew Davis,man,1978-05-08,24,Kate Bosworth,woman,1983-01-02,19,FALSE
Captain America: Civil War,2016,Joe & Anthony Russo,5,Chris Evans,man,1981-06-13,35,Emily VanCamp,woman,1986-05-12,30,FALSE
Chips,2017,Dax Shepard,5,Dax Shepard,man,1975-01-02,42,Kristen Bell,woman,1980-07-18,37,FALSE
Cinderella Man,2005,Ron Howard,5,Russell Crowe,man,1964-04-07,41,Renee Zellweger,woman,1969-04-25,36,FALSE
Closer,2004,Mike Nichols,-5,Jude Law,man,1972-12-29,32,Julia Roberts,woman,1967-10-28,37,FALSE
Cold Mountain,2003,Anthony Minghella,-5,Jude Law,man,1972-12-29,31,Nicole Kidman,woman,1967-06-20,36,FALSE
Days of Thunder,1990,Tony Scott,5,Tom Cruise,man,1962-07-03,28,Nicole Kidman,woman,1967-06-20,23,FALSE
Dear John,2010,Lasse Hallström,5,Channing Tatum,man,1980-04-26,30,Amanda Seyfried,woman,1985-12-03,25,FALSE
Ed Wood,1994,Tim Burton,5,Johnny Depp,man,1963-06-09,31,Patricia Arquette,woman,1968-04-08,26,FALSE
Elizabethtown,2005,Cameron Crowe,5,Orlando Bloom,man,1977-01-13,28,Kirsten Dunst,woman,1982-04-30,23,FALSE
Evan Almighty,2007,Tom Shadyac,5,Steve Carell,man,1962-08-16,45,Lauren Graham,woman,1967-03-16,40,FALSE
Forgetting Sarah Marshall,2008,Nicholas Stoller,5,Russell Brand,man,1975-06-04,33,Kristen Bell,woman,1980-07-18,28,FALSE
Goldfinger,1964,Guy Hamilton,-5,Sean Connery,man,1930-08-25,34,Honor Blackman,woman,1925-08-22,39,FALSE
He's Just Not That Into You,2009,Ken Kwapis,-5,Bradley Cooper,man,1975-01-05,34,Jennifer Connelly,woman,1970-12-12,39,FALSE
Head over Heels,2001,Mark Waters,-5,Freddie Prinze Jr.,man,1976-03-08,25,Monica Potter,woman,1971-06-30,30,FALSE
Heartbreakers,2001,David Mirkin,-5,Ray Liotta,man,1954-12-18,47,Sigourney Weaver,woman,1949-10-08,52,FALSE
Here on Earth,2000,Mark Piznarski,5,Josh Hartnett,man,1978-07-21,22,Leelee Sobieski,woman,1983-06-10,17,FALSE
Jersey Girl,2004,Kevin Smith,5,Ben Affleck,man,1972-08-15,32,Liv Tyler,woman,1977-07-01,27,FALSE
King Kong,2005,Peter Jackson,-5,Adrien Brody,man,1973-04-14,32,Naomi Watts,woman,1968-09-28,37,FALSE
L.A. Story,1991,Mick Jackson,5,Steve Martin,man,1945-08-14,46,Victoria Tennant,woman,1950-09-30,41,FALSE
Le Mans,1971,Lee H. Katzin,5,Steve McQueen,man,1930-03-24,41,Elga Andersen,woman,1935-02-02,36,FALSE
Legally Blonde,2001,Robert Luketic,5,Luke Wilson,man,1971-09-21,30,Reese Witherspoon,woman,1976-03-21,25,FALSE
Les Miserables,2012,Tom Hooper,-5,Sacha Baron Cohen,man,1971-10-13,41,Helena Bonham Carter,woman,1966-05-26,46,FALSE
Mona Lisa Smile,2003,Mike Newell,5,John Slattery,man,1962-08-13,41,Julia Roberts,woman,1967-10-28,36,FALSE
Monster,2003,Patty Jenkins,5,Charlize Theron,woman,1975-08-07,28,Christina Ricci,woman,1980-02-12,23,TRUE
Mr. Deeds,2002,Steven Brill,5,Adam Sandler,man,1966-09-09,36,Winona Ryder,woman,1971-10-29,31,FALSE
Mrs. Doubtfire,1993,Chris Columbus,-5,Robin Williams,man,1951-07-21,42,Sally Field,woman,1946-11-06,47,FALSE
On Her Majesty's Secret Service,1969,Peter R. Hunt,5,George Lazenby,man,1939-09-05,30,Catherine Schell,woman,1944-07-17,25,FALSE
P.S. I Love You,2007,Richard LaGravenese,5,Gerard Butler,man,1969-11-13,38,Hilary Swank,woman,1974-07-30,33,FALSE
Pearl Harbor,2001,Michael Bay,-5,Josh Hartnett,man,1978-07-21,23,Kate Beckinsale,woman,1973-07-26,28,FALSE
Push,2009,Paul McGuigan,5,Chris Evans,man,1981-06-13,28,Camilla Belle,woman,1986-10-02,23,FALSE
Queen of the Damned,2002,Michael Rymer,5,Stuart Townsend,man,1972-12-15,30,Marguerite Moreau,woman,1977-04-25,25,FALSE
Sleepless in Seattle,1993,Nora Ephron,5,Tom Hanks,man,1956-07-09,37,Meg Ryan,woman,1961-11-19,32,FALSE
Sweet Home Alabama,2002,Andy Tennant,5,Josh Lucas,man,1971-06-20,31,Reese Witherspoon,woman,1976-03-21,26,FALSE
The Amazing Spider-Man,2012,Marc Webb,5,Andrew Garfield,man,1983-08-20,29,Emma Stone,woman,1988-11-06,24,FALSE
The Big Sick,2017,Michael Showalter,5,Kumail Nanjiani,man,1978-02-21,39,Zoe Kazan,woman,1983-09-09,34,FALSE
The Dictator,2012,Larry Charles,5,Sacha Baron Cohen,man,1971-10-13,41,Anna Faris,woman,1976-11-29,36,FALSE
The Whole Nine Yards,2000,Jonathan Lynn,5,Matthew Perry,man,1969-08-19,31,Natasha Henstridge,woman,1974-08-15,26,FALSE
The Wood,1999,Rick Famuyiwa,-5,Taye Diggs,man,1971-01-02,28,LisaRaye McCoy,woman,1966-09-23,33,FALSE
Third Person,2013,Paul Haggis,5,James Franco,man,1978-04-19,35,Mila Kunis,woman,1983-08-14,30,FALSE
Top Gun,1986,Tony Scott,-5,Tom Cruise,man,1962-07-03,24,Kelly McGillis,woman,1957-07-09,29,FALSE
What's Your Number?,2011,Mark Mylod,-5,Chris Evans,man,1981-06-13,30,Anna Faris,woman,1976-11-29,35,FALSE
When a Man Loves a Woman,1994,Luis Mandoki,5,Andy Garcia,man,1956-04-12,38,Meg Ryan,woman,1961-11-19,33,FALSE
Win a Date with Tad Hamilton!,2004,Robert Luketic,5,Topher Grace,man,1978-07-19,26,Kate Bosworth,woman,1983-01-02,21,FALSE
Wonder Woman,2017,Patty Jenkins,5,Chris Pine,man,1980-08-26,37,Gal Gadot,woman,1985-04-30,32,FALSE
Zombieland,2009,Ruben Fleischer,5,Jesse Eisenberg,man,1983-10-05,26,Emma Stone,woman,1988-11-06,21,FALSE
300,2007,Zack Snyder,4,Gerard Butler,man,1969-11-13,38,Lena Headey,woman,1973-10-03,34,FALSE
50/50,2011,Jonathan Levine,4,Joseph Gordon-Levitt,man,1981-02-17,30,Anna Kendrick,woman,1985-08-09,26,FALSE
All About the Benjamins,2002,Kevin Bray,4,Mike Epps,man,1970-11-18,32,Eva Mendes,woman,1974-03-05,28,FALSE
All the Pretty Horses,2000,Billy Bob Thornton,4,Matt Damon,man,1970-10-08,30,Penelope Cruz,woman,1974-04-28,26,FALSE
Along Came Polly,2004,John Hamburg,4,Ben Stiller,man,1965-11-30,39,Jennifer Aniston,woman,1969-02-11,35,FALSE
American Beauty,1999,Sam Mendes,4,Wes Bentley,man,1978-09-04,21,Thora Birch,woman,1982-03-11,17,FALSE
Anchorman: The Legend of Ron Burgundy,2004,Adam McKay,4,Will Ferrell,man,1967-07-16,37,Christina Applegate,woman,1971-11-25,33,FALSE
Avengers: Age of Ultron,2015,Joss Whedon,4,Jeremy Renner,man,1971-01-07,44,Linda Cardellini,woman,1975-06-25,40,FALSE
Batman Begins,2005,Christopher Nolan,4,Christian Bale,man,1974-01-30,31,Katie Holmes,woman,1978-12-18,27,FALSE
Brooklyn,2015,John Crowley,4,Emory Cohen,man,1990-03-13,25,Saoirse Ronan,woman,1994-04-12,21,FALSE
Café Society,2016,Woody Allen,4,Jesse Eisenberg,man,1983-10-05,33,Blake Lively,woman,1987-08-25,29,FALSE
Chasing Amy,1997,Kevin Smith,-4,Ben Affleck,man,1972-08-15,25,Joey Lauren Adams,woman,1968-01-09,29,FALSE
Chicago,2002,Rob Marshall,4,John C. Reilly,man,1965-05-24,37,Renee Zellweger,woman,1969-04-25,33,FALSE
Chinatown,1974,Roman Polanski,4,Jack Nicholson,man,1937-04-22,37,Faye Dunaway,woman,1941-01-14,33,FALSE
Dr. No,1962,Terence Young,-4,Sean Connery,man,1930-08-25,32,Zena Marshall,woman,1926-01-01,36,FALSE
Funny People,2009,Judd Apatow,4,Eric Bana,man,1968-08-09,41,Leslie Mann,woman,1972-03-26,37,FALSE
Happy Gilmore,1996,Dennis Dugan,4,Adam Sandler,man,1966-09-09,30,Julie Bowen,woman,1970-03-03,26,FALSE
Here on Earth,2000,Mark Piznarski,4,Chris Klein,man,1979-03-14,21,Leelee Sobieski,woman,1983-06-10,17,FALSE
Hidden Figures,2016,Theodore Melfi,-4,Mahershala Ali,man,1974-02-16,42,Taraji P. Henson,woman,1970-09-11,46,FALSE
I Think I Love My Wife,2007,Chris Rock,4,Chris Rock,man,1965-02-07,42,Gina Torres,woman,1969-04-25,38,FALSE
In Time,2011,Andrew Niccol,4,Justin Timberlake,man,1981-01-31,30,Amanda Seyfried,woman,1985-12-03,26,FALSE
It's Complicated,2009,Nancy Meyers,4,Steve Martin,man,1945-08-14,64,Meryl Streep,woman,1949-06-22,60,FALSE
Juno,2007,Jason Reitman,4,J.K. Simmons,man,1955-01-09,52,Allison Janney,woman,1959-11-19,48,FALSE
